Row,Load_F1,Load_F2,RT_F1,RT_F2,Util_F1,Util_F2
row_1,0.5,1.0,0.009,0.009,0.9666666666666667,0.9666666666666667
row_2,1.0,0.4,0.009,0.009,0.95,0.9791666666666666
row_3,1.3,2.0,0.008,0.008,0.9743589743589743,0.9583333333333334
row_4,1.1,1.9,0.008,0.008,0.9696969696969697,0.9736842105263158
row_5,2.5,2.0,0.008,0.008,0.94,0.9666666666666667
row_6,2.8,4.0,0.008,0.008,0.9553571428571429,0.9625
row_7,5.0,1.0,0.008,0.008,0.9666666666666667,0.9583333333333334
row_8,3.0,3.5,0.008,0.008,0.9805555555555555,0.9857142857142858
row_9,5.0,4.0,0.008,0.008,0.975,0.9708333333333333
row_10,5.0,5.0,2.9015,2.7279999999999998,0.0,0.0
