Row,Load_F1,Load_F2,Load_F3,RT_F1,RT_F2,RT_F3,Util_F1,Util_F2,Util_F3
row_1,0.5,1.0,0.8,0.029966666666666655,0.03732499999999999,0.03446874999999999,0.9666666666666667,0.9666666666666667,0.9791666666666666
row_2,1.0,0.4,1.2,0.017566666666666664,0.008708333333333334,0.02358333333333333,0.9416666666666667,0.9583333333333334,0.9652777777777778
row_3,1.3,2.0,0.5,0.008871794871794875,0.017416666666666667,0.009300000000000001,0.9743589743589743,0.9875,0.95
row_4,1.4,0.8,1.0,0.008404761904761906,0.019947916666666666,0.018016666666666663,0.9940476190476191,0.96875,0.9666666666666667
row_5,1.75,1.5,1.0,0.02443333333333333,0.014177777777777775,0.008925,0.9666666666666667,0.9888888888888889,0.975
row_6,1.1,1.9,2.0,0.008340909090909092,0.008692982456140351,0.01814583333333333,0.9924242424242424,0.9912280701754386,0.9791666666666666
row_7,1.85,2.0,2.0,0.03889639639639639,0.022204166666666667,0.01805020920502092,0.9594594594594594,0.9666666666666667,0.9623430962343096
row_8,1.0,4.0,2.0,0.0088,0.037227083333333334,0.04748333333333333,0.9583333333333334,0.9666666666666667,0.9708333333333333
row_9,3.0,2.0,2.0,0.017952777777777776,0.013520833333333334,0.008383333333333335,0.9777777777777777,0.9791666666666666,0.9833333333333333
row_10,2.0,2.0,2.0,0.013504166666666668,0.013170833333333335,0.013175,0.9625,0.9583333333333334,0.9875
row_11,1.6,1.9,1.9,0.014265624999999999,0.022934210526315786,0.008894736842105266,0.9635416666666666,0.9736842105263158,0.9605263157894737
row_12,4.0,1.0,2.0,0.032014583333333325,0.028475000000000007,0.036866666666666666,0.9666666666666667,0.9583333333333334,0.9625
row_13,2.0,3.0,3.5,0.0087875,0.08510833333333334,0.04251428571428571,0.9583333333333334,0.9555555555555556,0.9619047619047619
row_14,4.5,3.0,2.0,0.01963079777365491,0.008122222222222223,0.00849166666666667,0.9721706864564007,0.9861111111111112,0.9791666666666666
row_15,2.5,2.0,4.0,0.00922,0.013191666666666664,0.01299375,0.9833333333333333,0.9833333333333333,0.9833333333333333
row_16,3.0,3.0,3.0,0.029241666666666666,0.01616388888888889,0.06184722222222223,0.9666666666666667,0.9888888888888889,0.95
row_17,5.0,1.0,2.0,0.008061666666666668,0.00824166666666667,0.008520833333333337,0.99,0.9916666666666667,0.9875
row_18,3.0,4.0,5.0,0.0971937321937322,0.11286680761099366,0.1047179054054054,0.9572649572649573,0.9492600422832981,0.9611486486486487
row_19,5.0,4.0,3.0,5.447587155963301,5.193602739726028,5.183266666666668,0.0,0.0,0.0
row_20,5.0,5.0,5.0,9.232119047619047,10.30128947368421,10.201093023255815,0.0,0.0,0.0
